zip,City,State,County_Name
2203,BOSTON,MA,SUFFOLK
2208,BOSTON,MA,SUFFOLK
2305,BROCKTON,MA,PLYMOUTH
2458,NEWTON,MA,MIDDLESEX
3804,PORTSMOUTH,NH,ROCKINGHAM
6912,STAMFORD,CT,FAIRFIELD
10060,New York,NY,New York County
10469,BRONX,NY,BRONX
11236,BROOKLYN,NY,KINGS
11388,RIDGEWOOD,NY,QUEENS
12242,ALBANY,NY,ALBANY
14263,BUFFALO,NY,ERIE
14604,ROCHESTER,NY,MONROE
15266,Pittsburgh,PA,ALLEGHENY
18105,ALLENTOWN,PA,LEHIGH
18763,WILKES BARRE,PA,LUZERNE
19172,Philadelphia,PA,Philadelphia County
19805,WILMINGTON,DE,NEW CASTLE
20046,WASHINGTON,DC,DISTRICT OF COLUMBIA
20078,Washington,DC,District of Columbia
20337,WASHINGTON,DC,DISTRICT OF COLUMBIA
20456,Washington,DC,District of Columbia
20508,WASHINGTON,DC,DISTRICT OF COLUMBIA
20525,WASHINGTON,DC,DISTRICT OF COLUMBIA
20551,WASHINGTON,DC,DISTRICT OF COLUMBIA
21211,BALTIMORE,MD,BALTIMORE CITY
21229,BALTIMORE,MD,BALTIMORE CITY
21282,PIKESVILLE,MD,BALTIMORE
22093,Ashburn,VA,Loudoun County
22119,Merrifield,VA,Fairfax County
22217,ARLINGTON,VA,ARLINGTON
22405,FREDERICKSBURG,VA,STAFFORD
23464,VIRGINIA BEACH,VA,VIRGINIA BEACH CITY
23605,NEWPORT NEWS,VA,NEWPORT NEWS CITY
24009,Roanoke,VA,Roanoke City
24029,Roanoke,VA,Roanoke City
25716,HUNTINGTON,WV,CABELL
27455,GREENSBORO,NC,GUILFORD
28230,CHARLOTTE,NC,MECKLENBURG
28235,CHARLOTTE,NC,MECKLENBURG
29424,CHARLESTON,SC,CHARLESTON
29505,FLORENCE,SC,FLORENCE
30919,AUGUSTA,GA,RICHMOND
31217,MACON,GA,BIBB
31605,VALDOSTA,GA,LOWNDES
32215,Jacksonville,FL,Duval County
32259,SAINT JOHNS,FL,SAINT JOHNS
32405,PANAMA CITY,FL,BAY
32868,ORLANDO,FL,ORANGE
33169,MIAMI,FL,MIAMI-DADE
33261,MIAMI,FL,MIAMI-DADE
33884,WINTER HAVEN,FL,POLK
34985,PORT SAINT LUCIE,FL,SAINT LUCIE
35220,BIRMINGHAM,AL,JEFFERSON
35254,BIRMINGHAM,AL,JEFFERSON
35263,Birmingham,AL,Jefferson County
35810,HUNTSVILLE,AL,MADISON
36177,Montgomery,AL,Montgomery County
39236,JACKSON,MS,HINDS
40210,LOUISVILLE,KY,JEFFERSON
44310,AKRON,OH,SUMMIT
44511,YOUNGSTOWN,OH,MAHONING
45296,Cincinnati,OH,Hamilton County
45454,Dayton,OH,Montgomery County
46221,INDIANAPOLIS,IN,MARION
47732,Evansville,IN,Vanderburgh County
47747,EVANSVILLE,IN,VANDERBURGH
47937,Crawfordsville,IN,Montgomery County
48206,DETROIT,MI,WAYNE
49018,Battle Creek,MI,Calhoun County
50320,DES MOINES,IA,POLK
52804,DAVENPORT,IA,SCOTT
54915,APPLETON,WI,OUTAGAMIE
55172,Saint Paul,MN,Ramsey County
55407,MINNEAPOLIS,MN,HENNEPIN
55417,MINNEAPOLIS,MN,HENNEPIN
55446,MINNEAPOLIS,MN,HENNEPIN
59105,BILLINGS,MT,YELLOWSTONE
60505,AURORA,IL,KANE
62723,Springfield,IL,Sangamon County
64142,Kansas City,MO,Jackson County
64144,Kansas City,MO,Jackson County
65218,COLUMBIA,MO,BOONE
65805,SPRINGFIELD,MO,GREENE
66617,TOPEKA,KS,SHAWNEE
66642,Topeka,KS,Shawnee County
67205,WICHITA,KS,SEDGWICK
68144,OMAHA,NE,DOUGLAS
71137,SHREVEPORT,LA,CADDO
73104,OKLAHOMA CITY,OK,OKLAHOMA
73124,OKLAHOMA CITY,OK,OKLAHOMA
75044,GARLAND,TX,DALLAS
75074,PLANO,TX,COLLIN
75185,MESQUITE,TX,DALLAS
75231,DALLAS,TX,DALLAS
76011,ARLINGTON,TX,TARRANT
76192,FORT WORTH,TX,TARRANT
76205,DENTON,TX,DENTON
76505,TEMPLE,TX,BELL
76705,WACO,TX,MCLENNAN
76796,Waco,TX,Mclennan County
77005,HOUSTON,TX,HARRIS
77070,HOUSTON,TX,HARRIS
77240,HOUSTON,TX,HARRIS
78220,SAN ANTONIO,TX,BEXAR
78405,CORPUS CHRISTI,TX,NUECES
78426,CORPUS CHRISTI,TX,NUECES
78769,Austin,TX,Travis County
79165,AMARILLO,TX,POTTER
79491,Lubbock,TX,Lubbock County
79923,EL PASO,TX,EL PASO
79940,EL PASO,TX,EL PASO
80005,ARVADA,CO,JEFFERSON
80150,ENGLEWOOD,CO,ARAPAHOE
80279,Denver,CO,Denver County
80940,Colorado Springs,CO,El Paso County
85062,PHOENIX,AZ,MARICOPA
85083,PHOENIX,AZ,MARICOPA
85205,MESA,AZ,MARICOPA
85271,SCOTTSDALE,AZ,MARICOPA
87592,SANTA FE,NM,SANTA FE
88530,El Paso,TX,El Paso County
89087,North Las Vegas,NV,Clark County
89130,LAS VEGAS,NV,CLARK
89505,RENO,NV,WASHOE
90015,LOS ANGELES,CA,LOS ANGELES
90805,LONG BEACH,CA,LOS ANGELES
91328,NORTHRIDGE,CA,LOS ANGELES
92056,OCEANSIDE,CA,SAN DIEGO
92160,SAN DIEGO,CA,SAN DIEGO
92822,BREA,CA,ORANGE
92825,ANAHEIM,CA,ORANGE
92844,GARDEN GROVE,CA,ORANGE
93094,SIMI VALLEY,CA,VENTURA
93291,VISALIA,CA,TULARE
93762,Fresno,CA,Fresno County
94105,SAN FRANCISCO,CA,SAN FRANCISCO
94660,Oakland,CA,Alameda County
94705,BERKELEY,CA,ALAMEDA
94975,PETALUMA,CA,SONOMA
95150,SAN JOSE,CA,SANTA CLARA
97216,PORTLAND,OR,MULTNOMAH
97221,PORTLAND,OR,MULTNOMAH
98042,KENT,WA,KING
98175,SEATTLE,WA,KING
98417,TACOMA,WA,PIERCE
